model,year,price,total_km,hp,box,body,drive,fuel,location
Land Rover Freelander,2009,773000.0,152188.0,160.0,AT, внедорожник, полный, дизель,Москва
ГАЗ 31105 Волга,2007,499000.0,5900.0,131.0,MT, седан, задний, бензин,Чеченская Республика
SsangYong Kyron,2012,770000.0,126000.0,150.0,MT, внедорожник, полный, бензин,Псковская область
Chevrolet Niva,2015,599000.0,78900.0,80.0,MT, внедорожник, полный, бензин,Архангельская область
Mercedes-Benz C-класс,2007,685000.0,339000.0,231.0,AT, седан, задний, бензин,Ростовская область
Volkswagen Golf,2014,800000.0,116000.0,122.0,AMT, хетчбэк, передний, бензин,Ярославская область
LADA Granta,2020,770000.0,4500.0,106.0,MT, седан, передний, бензин,Самарская область
ГАЗ ГАЗель 3302,2011,695000.0,135000.0,120.0,MT, фургон, задний, дизель,Москва
Volkswagen Polo,2011,619000.0,159500.0,105.0,MT, седан, передний, бензин,Республика Башкортостан
Volkswagen Transporter,1999,450000.0,499999.0,84.0,MT, фургон, передний, бензин,Рязанская область
Citroen C4,2012,540000.0,94500.0,109.0,MT, хетчбэк, передний, бензин,Оренбургская область
Honda Stepwgn,2002,670000.0,250000.0,160.0,AT, минивэн, передний, бензин,Краснодарский край
Chevrolet Niva,2016,689000.0,133000.0,80.0,MT, внедорожник, полный, бензин,Краснодарский край
Chevrolet Aveo,2013,530000.0,103000.0,115.0,AT, седан, передний, бензин,Архангельская область
Chevrolet Cruze,2013,630000.0,141000.0,109.0,MT, хетчбэк, передний, бензин,Пермский край
Chevrolet Niva,2016,673000.0,31240.0,80.0,MT, внедорожник, полный, бензин,Оренбургская область
Daihatsu Mira e:S,2017,465000.0,42100.0,49.0,CVT, хетчбэк, передний, бензин,Новосибирская область
Kia Picanto,2011,610000.0,105600.0,85.0,AT, хетчбэк, передний, бензин,Кировская область
Honda Fit Shuttle,2013,720000.0,82000.0,120.0,CVT, универсал, передний, бензин,Приморский край
Skoda Fabia,2010,550000.0,123344.0,105.0,AT, хетчбэк, передний, бензин,Ростовская область
Subaru Exiga,2010,800000.0,140000.0,225.0,AT, универсал, полный, бензин,Хабаровский край
Volkswagen Polo,2016,905000.0,127028.0,110.0,AT, седан, передний, бензин,Чувашская Республика
Honda Accord,2003,540000.0,370000.0,190.0,AT, седан, передний, бензин,Краснодарский край
Hyundai Elantra,2013,755000.0,97236.0,132.0,MT, седан, передний, бензин,Брянская область
LADA 4x4 (Нива),2017,470000.0,80000.0,83.0,MT, внедорожник, полный, бензин,Самарская область
Opel Mokka,2013,820000.0,60000.0,140.0,MT, внедорожник, передний, бензин,Пермский край
LADA Granta,2020,820000.0,25322.0,98.0,AT, седан, передний, бензин,Чеченская Республика
SsangYong Actyon,2011,620000.0,131000.0,149.0,AT, внедорожник, полный, дизель,Москва
Hyundai Solaris,2017,715000.0,121000.0,123.0,MT, седан, передний, бензин,Чувашская Республика
Skoda Octavia,2014,888000.0,194500.0,180.0,AMT, хетчбэк, передний, бензин,Республика Крым
Infiniti FX35,2004,625000.0,205000.0,280.0,AT, внедорожник, полный, бензин,Брянская область
Mazda 5,2011,939000.0,155500.0,144.0,AT, минивэн, передний, бензин,Свердловская область
SsangYong Actyon,2014,855000.0,125437.0,149.0,AT, внедорожник, полный, дизель,Московская область
Honda Insight,2010,710000.0,27000.0,88.0,CVT, хетчбэк, передний, гибрид,Приморский край
Mazda 3,2011,880000.0,88000.0,105.0,AT, седан, передний, бензин,Нижегородская область
Nissan Tiida,2012,655099.0,164000.0,110.0,AT, седан, передний, бензин,Самарская область
Skoda Octavia,2016,730000.0,100000.0,110.0,AT, хетчбэк, передний, бензин,Московская область
Volkswagen Passat,2010,600000.0,200000.0,152.0,AMT, седан, передний, бензин,Ульяновская область
Kia Sportage,2011,920000.0,185000.0,150.0,AT, внедорожник, полный, бензин,Владимирская область
Ford Focus,2015,930000.0,74000.0,125.0,AMT, хетчбэк, передний, бензин,Республика Башкортостан
Mercedes-Benz E-класс,2004,600000.0,180000.0,177.0,AT, седан, задний, бензин,Республика Дагестан
SsangYong Kyron,2008,510000.0,249900.0,150.0,MT, внедорожник, полный, бензин,Ленинградская область
Chevrolet Lacetti,2012,485000.0,69000.0,109.0,MT, хетчбэк, передний, бензин,Костромская область
Subaru Exiga,2010,800000.0,140000.0,225.0,AT, универсал, полный, бензин,Хабаровский край
Honda Accord,2003,540000.0,370000.0,190.0,AT, седан, передний, бензин,Краснодарский край
Hyundai Elantra,2013,755000.0,97236.0,132.0,MT, седан, передний, бензин,Брянская область
LADA 4x4 (Нива),2017,470000.0,80000.0,83.0,MT, внедорожник, полный, бензин,Самарская область
Opel Mokka,2013,820000.0,60000.0,140.0,MT, внедорожник, передний, бензин,Пермский край
LADA Granta,2020,820000.0,25322.0,98.0,AT, седан, передний, бензин,Чеченская Республика
Hyundai Solaris,2017,715000.0,121000.0,123.0,MT, седан, передний, бензин,Чувашская Республика
ВАЗ (LADA) Largus,2020,890000.0,11459.0,87.0,MT, универсал, передний, бензин,Псковская область
Land Rover Freelander,2008,730000.0,224000.0,160.0,AT, внедорожник, полный, дизель,Москва
Hyundai Elantra,2015,975000.0,90976.0,132.0,MT, седан, передний, бензин,Свердловская область
Skoda Octavia,2014,888000.0,194500.0,180.0,AMT, хетчбэк, передний, бензин,Республика Крым
SsangYong Actyon,2014,855000.0,125437.0,149.0,AT, внедорожник, полный, дизель,Московская область
Honda Insight,2010,710000.0,27000.0,88.0,CVT, хетчбэк, передний, гибрид,Приморский край
Skoda Yeti,2012,805000.0,232000.0,152.0,AMT, внедорожник, полный, бензин,Московская область
Kia Sportage,2011,840000.0,185175.0,150.0,AT, внедорожник, передний, бензин,Вологодская область
Opel Astra,2007,975000.0,63000.0,140.0,MT, седан, передний, бензин,Ростовская область
Mazda 3,2011,880000.0,88000.0,105.0,AT, седан, передний, бензин,Нижегородская область
Skoda Octavia,2016,730000.0,100000.0,110.0,AT, хетчбэк, передний, бензин,Московская область
SsangYong Actyon,2011,620000.0,131000.0,149.0,AT, внедорожник, полный, дизель,Москва
Infiniti FX35,2004,625000.0,205000.0,280.0,AT, внедорожник, полный, бензин,Брянская область
Volkswagen Passat,2010,600000.0,200000.0,152.0,AMT, седан, передний, бензин,Ульяновская область
Kia Sportage,2011,920000.0,185000.0,150.0,AT, внедорожник, полный, бензин,Владимирская область
Mazda 5,2011,939000.0,155500.0,144.0,AT, минивэн, передний, бензин,Свердловская область
Nissan Tiida,2012,655099.0,164000.0,110.0,AT, седан, передний, бензин,Самарская область
Mercedes-Benz E-класс,2004,600000.0,180000.0,177.0,AT, седан, задний, бензин,Республика Дагестан
Ford Focus,2015,930000.0,74000.0,125.0,AMT, хетчбэк, передний, бензин,Республика Башкортостан
Chevrolet Lacetti,2012,485000.0,69000.0,109.0,MT, хетчбэк, передний, бензин,Костромская область
Kia Rio,2015,570000.0,202000.0,107.0,AT, седан, передний, бензин,Краснодарский край
Volkswagen Polo,2016,765000.0,61000.0,110.0,AT, седан, передний, бензин,Краснодарский край
SsangYong Kyron,2008,510000.0,249900.0,150.0,MT, внедорожник, полный, бензин,Ленинградская область
Chevrolet Lacetti,2008,695000.0,16852.0,109.0,MT, седан, передний, бензин,Ростовская область
Audi A8,2007,910000.0,170500.0,350.0,AT, седан, полный, бензин,Московская область
Honda Insight,2010,630000.0,84000.0,88.0,CVT, хетчбэк, передний, гибрид,Приморский край
LADA Granta,2016,505000.0,110000.0,106.0,AMT, седан, передний, бензин,Ставропольский край
LADA Largus,2018,450000.0,137374.0,87.0,MT, фургон, передний, бензин,Тюменская область
Renault Sandero,2019,840000.0,41800.0,82.0,MT, хетчбэк, передний, бензин,Тамбовская область
Mitsubishi L200,2012,850000.0,542600.0,136.0,MT, пикап, полный, дизель,Тверская область
LADA Granta,2017,479000.0,65311.0,87.0,MT, седан, передний, бензин,Оренбургская область
Honda Freed,2018,980000.0,44000.0,110.0,AMT, минивэн, полный, гибрид,Приморский край
Volkswagen Jetta,2014,699000.0,185000.0,105.0,MT, седан, передний, бензин,Республика Башкортостан
Kia Soul,2010,629000.0,120000.0,128.0,AT, хетчбэк, передний, дизель,Москва
Ford Focus,2011,550000.0,143000.0,105.0,MT, хетчбэк, передний, бензин,Республика Карелия
Nissan Murano,2006,615700.0,211000.0,234.0,CVT, внедорожник, полный, бензин,Республика Татарстан
Opel Astra GTC,2012,500000.0,124300.0,140.0,AT, хетчбэк, передний, бензин,Нижегородская область
Mercedes-Benz E-класс AMG,1996,790000.0,201000.0,381.0,, седан, задний, бензин,Астраханская область
Datsun on-DO,2019,687000.0,7297.0,87.0,MT, седан, передний, бензин,Республика Башкортостан
LADA Vesta,2019,810000.0,51000.0,106.0,MT, седан, передний, бензин,Республика Крым
Kia Cerato,2013,750000.0,160000.0,130.0,MT, седан, передний, бензин,Владимирская область
LADA Vesta,2019,729000.0,89000.0,106.0,MT, седан, передний, бензин,Республика Дагестан
Honda Civic,1999,820000.0,10000.0,105.0,MT, хетчбэк, передний, бензин,Омская область
Toyota Camry,2007,770000.0,189000.0,167.0,AT, седан, передний, бензин,Республика Мордовия
Toyota Camry,2009,810000.0,151000.0,167.0,AT, седан, передний, бензин,Тульская область
Kia Rio,2012,545000.0,145000.0,123.0,AT, седан, передний, бензин,Тамбовская область
Kia Cerato,2010,650000.0,178113.0,126.0,AT, купе, передний, бензин,Ростовская область
Suzuki SX4,2008,614990.0,120000.0,106.0,MT, хетчбэк, полный, бензин,Пермский край
Ford Mondeo,2008,500000.0,280000.0,145.0,MT, седан, передний, бензин,Ярославская область
Suzuki SX4,2008,614990.0,120000.0,106.0,MT, хетчбэк, полный, бензин,Пермский край
Audi A8,2005,650000.0,235000.0,335.0,AT, седан, полный, бензин,Республика Крым
Nissan Sentra,2015,879000.0,120000.0,117.0,CVT, седан, передний, бензин,Республика Татарстан
Mitsubishi Colt,2009,499999.0,145555.0,105.0,CVT, хетчбэк, передний, бензин,Новосибирская область
Ford Mondeo,2011,750000.0,130100.0,200.0,AMT, седан, передний, бензин,Тамбовская область
LADA Vesta,2017,775000.0,67000.0,106.0,MT, седан, передний, бензин,Ульяновская область
Renault Latitude,2014,695000.0,117000.0,139.0,CVT, седан, передний, бензин,Санкт-Петербург
Land Rover Freelander,2003,460000.0,160000.0,177.0,AT, внедорожник, полный, бензин,Республика Северная Осетия — Алания
Hyundai Grand Starex,2008,800000.0,158000.0,174.0,AT, фургон, задний, дизель,Кировская область
Lexus IS,2006,750000.0,80000.0,208.0,AT, седан, задний, бензин,Москва
Opel Mokka,2014,850000.0,50606.0,140.0,MT, внедорожник, передний, бензин,Удмуртская Республика
Kia Rio,2013,640000.0,119570.0,123.0,AT, хетчбэк, передний, бензин,Республика Татарстан
Ford Transit,2012,895000.0,386611.0,140.0,MT, фургон, передний, дизель,Московская область
ГАЗ ГАЗель Next,2018,800000.0,210000.0,136.0,MT, микроавтобус, задний, дизель,Оренбургская область
Hyundai Elantra,2009,550000.0,143000.0,122.0,MT, седан, передний, бензин,Свердловская область
Kia Carnival,2005,495000.0,398000.0,144.0,MT, минивэн, передний, дизель,Республика Крым
Nissan Tiida,2007,525000.0,193000.0,110.0,AT, седан, передний, бензин,Белгородская область
Hyundai Solaris,2012,613000.0,180000.0,123.0,AT, хетчбэк, передний, бензин,Рязанская область
LADA Vesta,2016,590000.0,95200.0,106.0,AMT, седан, передний, бензин,Пермский край
Skoda Fabia,2013,632000.0,183188.0,105.0,AT, хетчбэк, передний, бензин,Санкт-Петербург
Chevrolet Niva,2019,879000.0,25770.0,80.0,MT, внедорожник, полный, бензин,Пензенская область
Hyundai Solaris,2019,975000.0,48000.0,123.0,AT, седан, передний, бензин,Москва
Kia Cerato,2010,500000.0,277000.0,126.0,MT, седан, передний, бензин,Республика Крым
Opel Insignia,2013,783000.0,102466.0,220.0,AT, седан, передний, бензин,Москва
Renault Duster,2013,787000.0,139500.0,135.0,MT, внедорожник, полный, бензин,Владимирская область
Chevrolet Niva,2015,555000.0,99018.0,80.0,MT, внедорожник, полный, бензин,Новгородская область
Ford Focus,2012,600000.0,133000.0,125.0,AMT, универсал, передний, бензин,Москва
Volvo C30,2008,730000.0,134000.0,170.0,AT, хетчбэк, передний, бензин,Москва
Citroen Jumper,2013,650000.0,203000.0,130.0,MT, микроавтобус, передний, дизель,Владимирская область
Renault Duster,2012,900000.0,68350.0,135.0,MT, внедорожник, полный, бензин,Брянская область
Ford Focus,2011,525000.0,165000.0,105.0,MT, хетчбэк, передний, бензин,Краснодарский край
LADA Vesta,2017,830000.0,115000.0,122.0,MT, седан, передний, бензин,Ставропольский край
Hyundai Solaris,2018,815000.0,8000.0,100.0,MT, седан, передний, бензин,Ставропольский край
Kia Rio,2012,499999.0,180000.0,123.0,AT, седан, передний, бензин,Краснодарский край
Kia Sorento,2005,499000.0,183000.0,195.0,AT, внедорожник, полный, бензин,Республика Коми
Kia Cerato,2011,745000.0,157800.0,126.0,MT, седан, передний, бензин,Оренбургская область
Citroen C5,2008,550000.0,138200.0,143.0,AT, седан, передний, бензин,Москва
Nissan Murano,2011,975000.0,265000.0,249.0,CVT, внедорожник, полный, бензин,Вологодская область
Nissan Qashqai,2012,850000.0,110000.0,117.0,CVT, внедорожник, передний, бензин,Московская область
ВАЗ Kalina Cross,2018,645000.0,44812.0,106.0,MT, универсал, передний, бензин,Самарская область
Ford Focus,2010,479000.0,137022.0,125.0,MT, седан, передний, бензин,Республика Башкортостан
Renault Duster,2012,690000.0,150368.0,135.0,AT, внедорожник, передний, бензин,Краснодарский край
LADA Vesta,2020,900000.0,19000.0,106.0,MT, седан, передний, бензин,Самарская область
Skoda Octavia,2012,670000.0,107000.0,102.0,MT, хетчбэк, передний, бензин,Московская область
Mitsubishi Lancer,2008,500000.0,220000.0,109.0,AT, седан, передний, бензин,Московская область
Datsun on-DO,2020,725000.0,18500.0,87.0,MT, седан, передний, бензин,Ставропольский край
Renault Duster,2016,920000.0,67700.0,114.0,MT, внедорожник, передний, бензин,Тюменская область
Kia Rio,2012,585000.0,140000.0,123.0,AT, седан, передний, бензин,Самарская область
Volkswagen Jetta,2012,800000.0,168000.0,110.0,AT, седан, передний, бензин,Челябинская область
Skoda Rapid,2016,855000.0,74800.0,90.0,MT, хетчбэк, передний, бензин,Республика Татарстан
ZOTYE T600,2017,880000.0,54000.0,149.0,MT, внедорожник, передний, бензин,Ростовская область
Ford Mondeo,2010,619000.0,151000.0,145.0,MT, седан, передний, бензин,Краснодарский край
Hyundai i30,2013,547000.0,45017.0,130.0,AT, хетчбэк, передний, бензин,Москва
Renault Duster,2012,680000.0,86872.0,102.0,MT, внедорожник, передний, бензин,Псковская область
Volkswagen Polo,2018,570000.0,228000.0,90.0,MT, седан, передний, бензин,Республика Дагестан
LADA Vesta,2017,625000.0,72000.0,106.0,MT, седан, передний, бензин,Курганская область
Hyundai Solaris,2011,675000.0,116467.0,123.0,MT, седан, передний, бензин,Тверская область
Volkswagen Jetta,2016,925000.0,140000.0,125.0,AMT, седан, передний, бензин,Республика Татарстан
Chevrolet Aveo,2014,709000.0,51000.0,115.0,AT, седан, передний, бензин,Самарская область
Kia Rio,2012,625000.0,139551.0,107.0,AT, седан, передний, бензин,Воронежская область
Citroen C4,2018,999000.0,41000.0,116.0,MT, седан, передний, бензин,Нижегородская область
Hyundai Solaris,2012,600000.0,169000.0,123.0,AT, седан, передний, бензин,Республика Татарстан
Nissan Juke,2011,829000.0,85206.0,117.0,MT, внедорожник, передний, бензин,Свердловская область
Peugeot 5008,2010,745000.0,233800.0,115.0,MT, минивэн, передний, дизель,Псковская область
Citroen C4 Picasso,2012,649000.0,160354.0,150.0,AMT, минивэн, передний, бензин,Республика Крым
ВАЗ (LADA) Kalina,2016,535000.0,101000.0,106.0,MT, универсал, передний, бензин,Ростовская область
ВАЗ (LADA) Vesta,2017,737000.0,78000.0,106.0,MT, седан, передний, бензин,Воронежская область
Renault Logan,2019,800000.0,26949.0,102.0,AT, седан, передний, бензин,Краснодарский край
LADA XRAY,2017,670000.0,175000.0,122.0,AMT, хетчбэк, передний, бензин,Республика Крым
Skoda Rapid,2016,690000.0,115000.0,110.0,AT, хетчбэк, передний, бензин,Краснодарский край
Hyundai Solaris,2017,760000.0,98000.0,123.0,MT, седан, передний, бензин,Самарская область
Volkswagen Polo,2012,628000.0,139800.0,105.0,MT, седан, передний, бензин,Ростовская область
Hyundai i40,2014,840000.0,112000.0,150.0,AT, седан, передний, бензин,Свердловская область
Volkswagen Polo,2014,610000.0,117000.0,105.0,AT, седан, передний, бензин,Москва
Kia Rio,2021,610300.0,167.0,123.0,AT, седан, передний, бензин,Свердловская область
Nissan Qashqai,2012,997000.0,108390.0,117.0,CVT, внедорожник, передний, бензин,Севастополь
Opel Astra,2012,590000.0,195000.0,115.0,AT, хетчбэк, передний, бензин,Москва
Kia Sorento,2008,790000.0,197500.0,170.0,MT, внедорожник, полный, дизель,Тюменская область
УАЗ Patriot,2017,707000.0,55000.0,135.0,MT, внедорожник, полный, бензин,Пермский край
Hyundai ix35,2012,800000.0,148369.0,150.0,AT, внедорожник, полный, бензин,Московская область
Volkswagen Passat,2012,830000.0,174990.0,122.0,MT, седан, передний, бензин,Ярославская область
Chevrolet Tahoe,2005,830000.0,220000.0,299.0,AT, внедорожник, полный, бензин,Ставропольский край
Hyundai Solaris,2015,955000.0,82798.0,123.0,AT, седан, передний, бензин,Белгородская область
Renault Duster,2015,930000.0,112000.0,143.0,AT, внедорожник, полный, бензин,Санкт-Петербург
Nissan Leaf,2016,680000.0,60000.0,109.0,, хетчбэк, передний, электро,Москва
Hyundai Getz,2010,459000.0,89264.0,97.0,MT, хетчбэк, передний, бензин,Ярославская область
Mazda 3,2011,790000.0,200000.0,105.0,AT, седан, передний, бензин,Красноярский край
Renault Fluence,2011,599000.0,177338.0,106.0,MT, седан, передний, бензин,Свердловская область
Opel Astra,2012,627000.0,100300.0,115.0,AT, хетчбэк, передний, бензин,Республика Татарстан
Skoda Octavia,2013,599000.0,145000.0,102.0,MT, хетчбэк, передний, бензин,Самарская область
Nissan Pathfinder,2005,770000.0,190000.0,174.0,MT, внедорожник, полный, дизель,Свердловская область
ГАЗ ГАЗель 2705,2015,480000.0,168200.0,107.0,MT, фургон, задний, бензин,Москва
Skoda Octavia,2012,895000.0,107000.0,102.0,MT, хетчбэк, передний, бензин,Белгородская область
Skoda Octavia,2014,888000.0,145000.0,140.0,AMT, хетчбэк, передний, бензин,Краснодарский край
Mitsubishi Lancer,2011,487000.0,155000.0,109.0,MT, седан, передний, бензин,Липецкая область
BMW 1 серия,2011,875000.0,143000.0,170.0,AT, хетчбэк, задний, бензин,Республика Крым
LADA Largus,2018,817000.0,87200.0,106.0,MT, универсал, передний, бензин,Ярославская область
Ford Focus,2008,475000.0,220160.0,145.0,MT, седан, передний, бензин,Краснодарский край
Toyota Avensis,2004,600000.0,402000.0,147.0,AT, седан, передний, бензин,Калужская область
BMW 3 серия,2001,470000.0,276000.0,118.0,AT, седан, задний, бензин,Москва
LADA 4x4 (Нива),2019,590000.0,40000.0,83.0,MT, внедорожник, полный, бензин,Республика Татарстан
Skoda Octavia,2012,675000.0,112000.0,102.0,MT, хетчбэк, передний, бензин,Курганская область
Mitsubishi Pajero,1998,476400.0,121000.0,208.0,AT, внедорожник, полный, бензин,Приморский край
ВАЗ (LADA) Vesta,2018,880000.0,46000.0,122.0,MT, седан, передний, бензин,Воронежская область
Kia Rio,2015,794000.0,85849.0,123.0,MT, седан, передний, бензин,Челябинская область
Mazda 6,2010,705000.0,153000.0,120.0,MT, седан, передний, бензин,Белгородская область
LADA Vesta,2020,890000.0,65000.0,106.0,MT, седан, передний, бензин,Кабардино-Балкарская Республика
Toyota Camry,2008,489000.0,257000.0,277.0,AT, седан, передний, бензин,Тюменская область
Nissan Teana,2014,949000.0,170000.0,173.0,CVT, седан, передний, бензин,Краснодарский край
Volkswagen Polo,2017,875000.0,90879.0,110.0,MT, седан, передний, бензин,Челябинская область
Mazda 3,2010,669000.0,130348.0,105.0,AT, седан, передний, бензин,Самарская область
Toyota Corolla,2007,550000.0,214597.0,124.0,AMT, седан, передний, бензин,Новосибирская область
Toyota Corolla,2007,550000.0,214597.0,124.0,AMT, седан, передний, бензин,Новосибирская область
Volkswagen Polo,2017,875000.0,90879.0,110.0,MT, седан, передний, бензин,Челябинская область
Kia Sorento,2010,980000.0,210000.0,175.0,AT, внедорожник, полный, бензин,Карачаево-Черкесская Республика
Kia Ceed,2010,575000.0,150000.0,126.0,MT, хетчбэк, передний, бензин,Чувашская Республика
Chevrolet Cobalt,2012,520000.0,109000.0,105.0,MT, седан, передний, бензин,Челябинская область
Renault Duster,2013,750000.0,102487.0,135.0,MT, внедорожник, полный, бензин,Пензенская область
Opel Insignia,2009,650000.0,135433.0,220.0,AT, седан, передний, бензин,Республика Татарстан
Toyota Succeed,2017,899999.0,108000.0,109.0,CVT, универсал, передний, бензин,Оренбургская область
Kia Carnival,2009,835000.0,206000.0,189.0,AT, минивэн, передний, бензин,Санкт-Петербург
Ford Focus,2011,498000.0,198000.0,100.0,MT, хетчбэк, передний, бензин,Краснодарский край
Kia Optima,2017,850000.0,325000.0,150.0,MT, седан, передний, бензин,Московская область
Volkswagen Polo,2014,460000.0,208154.0,85.0,MT, седан, передний, бензин,Калужская область
Mazda 3,2010,669000.0,130348.0,105.0,AT, седан, передний, бензин,Самарская область
Ford Focus,2010,495000.0,190000.0,145.0,MT, универсал, передний, бензин,Алтайский край
Volkswagen Polo,2016,990000.0,104000.0,110.0,AT, седан, передний, бензин,Самарская область
Opel Corsa,2012,509000.0,138240.0,100.0,AT, хетчбэк, передний, бензин,Санкт-Петербург
Infiniti G25,2010,885000.0,190000.0,222.0,AT, седан, задний, бензин,Москва
Great Wall Hover H3,2014,659000.0,245710.0,150.0,MT, внедорожник, полный, бензин,Москва
Renault Duster,2012,817000.0,85000.0,135.0,MT, внедорожник, полный, бензин,Московская область
Chevrolet Lacetti,2010,450000.0,135000.0,109.0,AT, хетчбэк, передний, бензин,Республика Татарстан
Chevrolet Niva,2020,930000.0,14000.0,80.0,MT, внедорожник, полный, бензин,Краснодарский край
Chevrolet Cruze,2014,750000.0,121000.0,140.0,AT, седан, передний, бензин,Рязанская область
Honda Accord,2005,470000.0,35487.0,190.0,AT, седан, передний, бензин,Московская область
Toyota Camry,2005,684000.0,395000.0,152.0,MT, седан, передний, бензин,Московская область
Nissan Qashqai,2011,780000.0,143000.0,141.0,CVT, внедорожник, полный, бензин,Москва
Skoda Yeti,2010,640000.0,65000.0,105.0,AMT, внедорожник, передний, бензин,Тульская область
BMW 3 серия,2009,650000.0,174796.0,156.0,AT, седан, задний, бензин,Московская область
Renault Symbol,2007,565000.0,23051.0,98.0,AT, седан, передний, бензин,Ростовская область
Nissan Almera,2013,470000.0,158000.0,102.0,MT, седан, передний, бензин,Республика Башкортостан
Opel Astra,2011,750000.0,83000.0,115.0,MT, универсал, передний, бензин,Нижегородская область
Chevrolet Cruze,2012,730000.0,42000.0,109.0,AT, хетчбэк, передний, бензин,Ставропольский край
LADA Granta,2019,610000.0,9300.0,87.0,MT, седан, передний, бензин,Нижегородская область
Toyota Corolla,2011,820000.0,139000.0,124.0,AT, седан, передний, бензин,Мурманская область
Ford Mondeo,2008,500000.0,280000.0,145.0,MT, седан, передний, бензин,Ульяновская область
LADA Vesta,2019,750000.0,35111.0,106.0,MT, седан, передний, бензин,Воронежская область
Nissan X-Trail,2011,738000.0,137547.0,140.0,CVT, внедорожник, полный, бензин,Самарская область
Hyundai Getz,2010,500000.0,81220.0,97.0,AT, хетчбэк, передний, бензин,Москва
ТагАЗ Tager,2009,499000.0,890000.0,150.0,MT, внедорожник, полный, бензин,Красноярский край
Kia Ceed,2014,699000.0,98000.0,129.0,AT, хетчбэк, передний, бензин,Москва
УАЗ Профи,2018,770000.0,66000.0,150.0,MT, фургон, задний, бензин,Краснодарский край
Hyundai i40,2013,790000.0,231412.0,150.0,AT, седан, передний, бензин,Краснодарский край
Volvo V50,2006,550000.0,172326.0,145.0,MT, универсал, передний, бензин,Республика Татарстан
Kia Ceed,2010,590000.0,167200.0,125.0,MT, хетчбэк, передний, бензин,Краснодарский край
Infiniti FX35,2005,666666.0,160000.0,280.0,AT, внедорожник, полный, бензин,Тюменская область
SsangYong Kyron,2007,650000.0,165000.0,150.0,AT, внедорожник, полный, бензин,Санкт-Петербург
Hyundai i30,2009,485000.0,170000.0,109.0,MT, хетчбэк, передний, бензин,Нижегородская область
Audi A5,2007,700000.0,242000.0,265.0,CVT, купе, передний, бензин,Московская область
Audi Q7,2006,930000.0,290000.0,233.0,AT, внедорожник, полный, дизель,Санкт-Петербург
Mercedes-Benz CLS-класс,2005,750000.0,131000.0,272.0,AT, седан, задний, бензин,Саратовская область
Nissan Juke,2012,800000.0,117000.0,117.0,MT, внедорожник, передний, бензин,Краснодарский край
Hyundai Elantra,2006,450000.0,208857.0,143.0,AT, седан, передний, бензин,Челябинская область
Chevrolet Cruze,2013,620000.0,121754.0,141.0,MT, хетчбэк, передний, бензин,Волгоградская область
Lexus RX,2002,699000.0,270000.0,201.0,AT, внедорожник, передний, бензин,Красноярский край
Nissan Tiida,2012,765000.0,29000.0,110.0,MT, седан, передний, бензин,Белгородская область
Mitsubishi Grandis,2008,780000.0,180000.0,165.0,AT, минивэн, передний, бензин,Дагестан
Volkswagen Jetta,2010,470000.0,136000.0,102.0,MT, седан, передний, бензин,Тюменская область
Hyundai Solaris,2016,514000.0,227876.0,107.0,MT, седан, передний, бензин,Карачаево-Черкесская Республика
Nissan Juke,2012,800000.0,117000.0,117.0,MT, внедорожник, передний, бензин,Краснодарский край
Kia Sportage,2009,795000.0,175000.0,141.0,MT, внедорожник, полный, бензин,Пензенская область
Kia Rio,2016,480000.0,280000.0,123.0,MT, седан, передний, бензин,Москва
Volkswagen Polo,2018,650000.0,100000.0,90.0,MT, седан, передний, бензин,Ростовская область
Volvo S60,2007,580000.0,129000.0,210.0,AT, седан, полный, бензин,Нижегородская область
Mercedes-Benz GL-класс,2008,969000.0,210548.0,340.0,AT, внедорожник, полный, бензин,Республика Татарстан
Ford Focus,2012,630000.0,187000.0,105.0,MT, хетчбэк, передний, бензин,Москва
SsangYong Kyron,2010,615000.0,120900.0,141.0,AT, внедорожник, полный, дизель,Вологодская область
Volkswagen Golf Plus,2011,619000.0,97150.0,102.0,AMT, хетчбэк, передний, бензин,Московская область
Toyota Prius,2014,740000.0,57435.0,99.0,CVT, хетчбэк, передний, гибрид,Хабаровский край
Chevrolet Niva,2014,480000.0,91000.0,80.0,MT, внедорожник, полный, бензин,Республика Башкортостан
Nissan Pathfinder,2008,799000.0,137000.0,174.0,AT, внедорожник, полный, дизель,Москва
ВАЗ (LADA) Vesta,2019,949000.0,38994.0,106.0,MT, универсал, передний, бензин,Московская область
Skoda Rapid,2015,599000.0,177184.0,90.0,MT, хетчбэк, передний, бензин,Свердловская область
Chevrolet Cruze,2012,549000.0,128000.0,109.0,MT, хетчбэк, передний, бензин,Санкт-Петербург
Suzuki Swift,2018,855000.0,37000.0,140.0,MT, хетчбэк, передний, бензин,Приморский край
Mitsubishi Lancer,2010,570000.0,219000.0,109.0,AT, седан, передний, бензин,Санкт-Петербург
Daewoo Gentra,2014,490000.0,108334.0,107.0,MT, седан, передний, бензин,Республика Карелия
Dongfeng H30 Cross,2015,499000.0,71017.0,117.0,MT, хетчбэк, передний, бензин,Ленинградская область
УАЗ Hunter,2008,500000.0,28000.0,128.0,MT, внедорожник, полный, бензин,Смоленская область
Mitsubishi Lancer,2013,650000.0,130500.0,117.0,MT, седан, передний, бензин,Омская область
Mercedes-Benz Vito,2003,630000.0,250000.0,143.0,AT, минивэн, передний, бензин,Московская область
