model,year,price,total_km,hp,box,body,drive,fuel,location
Mitsubishi ASX,2013,945000.0,104000.0,150.0,CVT, внедорожник, полный, бензин,Москва
Audi A6,2008,607000.0,146000.0,170.0,CVT, седан, передний, бензин,Москва
Opel Astra,2012,530000.0,80000.0,140.0,MT, хетчбэк, передний, бензин,Удмуртская Республика
Great Wall Hover H5,2012,680000.0,138387.0,150.0,AT, внедорожник, полный, дизель,Архангельская область
Mitsubishi Lancer,2008,495000.0,194000.0,109.0,AT, седан, передний, бензин,Тюменская область
Opel Astra,2013,580000.0,125000.0,115.0,MT, хетчбэк, передний, бензин,Республика Татарстан
Mercedes-Benz C-класс,2008,690000.0,289000.0,156.0,MT, универсал, задний, бензин,Чеченская Республика
Nissan Note,2013,838000.0,67000.0,110.0,AT, хетчбэк, передний, бензин,Санкт-Петербург
Opel Mokka,2014,900000.0,109000.0,140.0,MT, внедорожник, передний, бензин,Оренбургская область
Ford Kuga,2013,1000000.0,217000.0,140.0,AMT, внедорожник, полный, дизель,Москва
Nissan Qashqai,2012,841000.0,214800.0,114.0,MT, внедорожник, передний, бензин,Свердловская область
Toyota Probox,2018,561000.0,41000.0,109.0,CVT, универсал, передний, бензин,Приморский край
Ford Focus,2017,915000.0,66959.0,105.0,MT, хетчбэк, передний, бензин,Тамбовская область
Lexus RX,2007,960000.0,257600.0,276.0,AT, внедорожник, полный, бензин,Пермский край
LADA XRAY,2018,785000.0,92000.0,106.0,MT, хетчбэк, передний, бензин,Республика Башкортостан
Kia Rio,2016,670000.0,148000.0,107.0,MT, седан, передний, бензин,Санкт-Петербург
ГАЗ 3102 Волга,2006,900000.0,3000.0,150.0,MT, седан, задний, бензин,Нижегородская область
ВАЗ (LADA) Vesta Cross,2019,880000.0,92645.0,122.0,MT, универсал, передний, бензин,Краснодарский край
Chevrolet Aveo,2015,535000.0,129326.0,115.0,MT, седан, передний, бензин,Республика Татарстан
Renault Logan,2015,685000.0,106575.0,82.0,MT, седан, передний, бензин,Архангельская область
Honda Accord,2007,950000.0,251000.0,190.0,AT, седан, передний, бензин,Санкт-Петербург
ВАЗ (LADA) Granta,2018,470000.0,93620.0,87.0,MT, седан, передний, бензин,Воронежская область
Volkswagen Passat,2012,925000.0,100000.0,152.0,AMT, седан, передний, бензин,Волгоградская область
ВАЗ (LADA) Largus Cross,2020,868000.0,65416.0,106.0,MT, универсал, передний, бензин,Краснодарский край
Suzuki Grand Vitara,2010,970000.0,186600.0,169.0,AT, внедорожник, полный, бензин,Свердловская область
Toyota Camry,2008,599000.0,300000.0,277.0,AT, седан, передний, бензин,Республика Ингушетия
ГАЗ ГАЗель 3302,2014,455000.0,400000.0,107.0,MT, фургон, задний, бензин,Тульская область
Renault Duster,2014,780000.0,109550.0,102.0,MT, внедорожник, передний, бензин,Московская область
LADA Vesta,2020,950000.0,85000.0,113.0,CVT, универсал, передний, бензин,Челябинская область
Renault Logan,2018,950000.0,5980.0,82.0,MT, седан, передний, бензин,Ростовская область
Infiniti FX35,2006,980000.0,143000.0,280.0,AT, внедорожник, полный, бензин,Москва
Ford S-MAX,2008,640000.0,184926.0,125.0,MT, минивэн, передний, дизель,Калужская область
Mitsubishi Colt,2004,594000.0,11126.0,95.0,AMT, хетчбэк, передний, бензин,Ростовская область
Mercedes-Benz M-класс,2007,870000.0,150000.0,272.0,AT, внедорожник, полный, бензин,Пензенская область
Hyundai Avante,2011,711000.0,165000.0,140.0,AT, седан, передний, бензин,Красноярский край
Opel Mokka,2014,875000.0,121044.0,140.0,MT, внедорожник, передний, бензин,Вологодская область
УАЗ Patriot,2015,649000.0,81000.0,128.0,MT, внедорожник, полный, бензин,Архангельская область
BMW 7 серия,2001,450000.0,315000.0,333.0,AT, седан, задний, бензин,Тюменская область
Infiniti G25,2010,870000.0,146000.0,222.0,AT, седан, задний, бензин,Псковская область
LADA Granta,2021,650000.0,8000.0,106.0,MT, седан, передний, бензин,Республика Башкортостан
Volkswagen Tiguan,2012,949000.0,182000.0,140.0,AT, внедорожник, полный, дизель,Мурманская область
ВАЗ (LADA) Vesta,2019,790000.0,98923.0,106.0,MT, седан, передний, бензин,Воронежская область
LADA Granta,2021,650000.0,8000.0,106.0,MT, седан, передний, бензин,Республика Башкортостан
Volkswagen Tiguan,2012,949000.0,182000.0,140.0,AT, внедорожник, полный, дизель,Мурманская область
Hyundai Grand Starex,2009,825000.0,320000.0,145.0,MT, минивэн, задний, дизель,Москва
ВАЗ (LADA) Vesta,2019,790000.0,98923.0,106.0,MT, седан, передний, бензин,Воронежская область
LADA Largus,2020,985000.0,47499.0,106.0,MT, универсал, передний, бензин,Саратовская область
Mercedes-Benz M-класс AMG,2007,800000.0,285000.0,510.0,, внедорожник, полный, бензин,Курская область
Volkswagen Polo,2019,930000.0,38000.0,90.0,MT, седан, передний, бензин,Краснодарский край
ВАЗ (LADA) XRAY Cross,2019,860000.0,45982.0,122.0,MT, хетчбэк, передний, бензин,Ленинградская область
Volkswagen Polo,2017,753000.0,73500.0,110.0,AT, седан, передний, бензин,Москва
LADA Granta,2020,817000.0,34000.0,106.0,MT, седан, передний, бензин,Краснодарский край
Hummer H2,2004,850000.0,225120.0,315.0,, внедорожник, полный, бензин,Москва
SsangYong Kyron,2012,455000.0,206000.0,141.0,MT, внедорожник, полный, дизель,Санкт-Петербург
Mitsubishi ASX,2014,950000.0,130800.0,117.0,MT, внедорожник, передний, бензин,Тверская область
Opel Zafira,2008,453000.0,166528.0,140.0,AMT, минивэн, передний, бензин,Москва
Kia Rio,2015,794000.0,85849.0,123.0,MT, седан, передний, бензин,Челябинская область
LADA Granta,2019,455000.0,65000.0,87.0,MT, седан, передний, бензин,Саратовская область
Nissan Qashqai,2011,850000.0,161000.0,114.0,MT, внедорожник, передний, бензин,Оренбургская область
Volkswagen Passat,2007,595000.0,391000.0,200.0,AT, седан, передний, бензин,Самарская область
Skoda Octavia,2010,540000.0,183000.0,102.0,MT, хетчбэк, передний, бензин,Вологодская область
Nissan Almera,2016,496000.0,153050.0,102.0,AT, седан, передний, бензин,Тюменская область
Mitsubishi L200,2010,959000.0,179309.0,136.0,AT, пикап, полный, дизель,Вологодская область
ГАЗ ГАЗель 3302,2008,450000.0,286000.0,137.0,MT, пикап, задний, бензин,Тульская область
Land Rover Discovery,2008,550000.0,230000.0,190.0,AT, внедорожник, полный, дизель,Республика Башкортостан
LADA Vesta,2017,610000.0,159615.0,106.0,MT, седан, передний, бензин,Ростовская область
Nissan X-Trail,2008,749000.0,122000.0,137.0,CVT, внедорожник, полный, бензин,Москва
Hyundai Accent,2009,595000.0,13244.0,112.0,MT, седан, передний, бензин,Ростовская область
LADA Vesta,2019,850000.0,42000.0,106.0,MT, седан, передний, бензин,Ставропольский край
Ford Focus,2009,630000.0,137000.0,145.0,AT, хетчбэк, передний, бензин,Ростовская область
Mazda 3,2009,495000.0,168415.0,105.0,MT, хетчбэк, передний, бензин,Москва
LADA Priora,2018,485000.0,60000.0,87.0,MT, седан, передний, бензин,Челябинская область
LADA Kalina,2016,495000.0,70000.0,98.0,AT, универсал, передний, бензин,Самарская область
Kia Rio,2014,639874.0,165111.0,107.0,MT, хетчбэк, передний, бензин,Республика Татарстан
Mercedes-Benz C-класс,2007,630000.0,160911.0,231.0,AT, седан, задний, бензин,Смоленская область
Hyundai Solaris,2013,585000.0,214000.0,123.0,MT, седан, передний, бензин,Республика Башкортостан
