,NameYear,Price,CarParams,url
3988,"KIA Rio X-Line, 2018",999 000 ₽,"16 000 км, 1.6 AT (123 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_rio_x-line_2018_2132034790
3989,"Toyota RAV4, 2016",1 745 000 ₽,"92 020 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/toyota_rav4_2016_2106203279
3990,"Mitsubishi Outlander, 2014",1 090 000 ₽,"220 000 км, 2.0 CVT (146 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/mitsubishi_outlander_2014_2061837023
3991,"Mercedes-Benz GLK-класс, 2014",1 790 000 ₽,"105 000 км, 2.1 AT (170 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/mercedes-benz_glk-klass_2014_2108105509
3992,"Renault Logan, 2012",200 000 ₽,"222 520 км, 1.6 MT (84 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/renault_logan_2012_2090411529
3993,"KIA Quoris, 2018",750 000 ₽,"Битый, 30 888 км, 3.8 AT (334 л.с.), седан, задний, бензин",https://www.avito.ru/moskva/avtomobili/kia_quoris_2018_2057674587
3994,"Hyundai Santa Fe, 2016",1 599 000 ₽,"157 000 км, 2.4 AT (171 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/hyundai_santa_fe_2016_2111091404
3995,"LIFAN Myway, 2018",760 000 ₽,"50 712 км, 1.8 MT (125 л.с.), внедорожник, задний, бензин",https://www.avito.ru/moskva/avtomobili/lifan_myway_2018_2091804222
3996,"Skoda Kodiaq, 2018",2 200 000 ₽,"75 500 км, 2.0 AMT (180 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/skoda_kodiaq_2018_2121443277
3997,"KIA Rio, 2016",695 000 ₽,"68 772 км, 1.6 MT (123 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_rio_2016_2130144407
3998,"Skoda Kodiaq, 2018",2 069 000 ₽,"26 000 км, 2.0 AMT (150 л.с.), внедорожник, полный, дизель",https://www.avito.ru/moskva/avtomobili/skoda_kodiaq_2018_2087550988
3999,"KIA Optima, 2019",1 300 000 ₽,"72 500 км, 2.0 AT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_optima_2019_2046656731
4000,"Toyota RAV4, 2013",1 299 000 ₽,"114 701 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/toyota_rav4_2013_2088568726
4001,"Toyota Highlander, 2012",1 595 000 ₽,"111 936 км, 3.5 AT (273 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/toyota_highlander_2012_2138254580
4002,"Hyundai Grand Starex, 2013",1 407 000 ₽,"116 000 км, 2.5 AT (145 л.с.), минивэн, задний, дизель",https://www.avito.ru/moskva/avtomobili/hyundai_grand_starex_2013_2114042475
4003,"Lexus ES, 2017",1 060 000 ₽,"Битый, 94 942 км, 2.5 AT (184 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/lexus_es_2017_2065449710
4004,"LADA Granta, 2014",268 399 ₽,"160 000 км, 1.6 MT (87 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/lada_granta_2014_2095144496
4005,"Nissan Murano, 2019",2 753 000 ₽,"16 900 км, 3.5 CVT (249 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/nissan_murano_2019_2098286463
4006,"Mercedes-Benz GLA-класс, 2015",1 774 000 ₽,"53 338 км, 2.0 AMT (211 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_gla-klass_2015_2087378911
4007,"Nissan Qashqai, 2012",815 000 ₽,"108 778 км, 2.0 CVT (141 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/nissan_qashqai_2012_2106313025
4008,"Volkswagen Tiguan, 2012",975 000 ₽,"126 368 км, 2.0 AT (170 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/volkswagen_tiguan_2012_2100450270
4009,"Audi A6, 2017",2 190 000 ₽,"53 004 км, 2.0 AMT (249 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/audi_a6_2017_2087572373
4010,"Mercedes-Benz S-класс, 2018",6 000 000 ₽,"37 000 км, 3.0 AT (367 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_s-klass_2018_2116694182
4011,"Toyota Camry, 2012",1 170 000 ₽,"140 000 км, 2.5 AT (181 л.с.), седан, передний, бензин",https://www.avito.ru/perm/avtomobili/toyota_camry_2012_2082325958
4012,"Skoda Octavia, 2018",1 364 713 ₽,"80 611 км, 1.4 AMT (150 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/skoda_octavia_2018_2132778963
4013,"BMW 5 серия, 2014",1 765 000 ₽,"152 456 км, 3.0 AT (258 л.с.), седан, полный, дизель",https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2014_2092524264
4014,"Renault Sandero, 2017",727 000 ₽,"19 026 км, 1.6 MT (82 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/renault_sandero_2017_2111318605
4015,"Renault Kaptur, 2018",729 000 ₽,"23 000 км, 1.6 CVT (114 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/renault_kaptur_2018_2105381852
4016,"KIA Rio, 2016",500 000 ₽,"235 000 км, 1.4 AT (107 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_rio_2016_2130054119
4017,"Mercedes-Benz GLC-класс, 2015",1 950 000 ₽,"166 000 км, 2.0 AT (211 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_glc-klass_2015_1974614378
4018,"LIFAN X60, 2015",515 000 ₽,"57 254 км, 1.8 AT (128 л.с.), внедорожник, передний, бензин",https://www.avito.ru/moskva/avtomobili/lifan_x60_2015_2087010504
4019,"Audi A8, 2013",1 640 000 ₽,"175 000 км, 3.0 AT (310 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/audi_a8_2013_2099723663
4020,"Ford Transit, 2014",800 000 ₽,"107 000 км, 2.2 MT (125 л.с.), фургон, передний, дизель",https://www.avito.ru/moskva/avtomobili/ford_transit_2014_2135565120
4021,"BMW 5 серия, 2019",3 300 000 ₽,"32 500 км, 2.0 AT (249 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2019_2087835133
4022,"Hyundai Solaris, 2017",695 000 ₽,"32 500 км, 1.6 MT (123 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/hyundai_solaris_2017_2088820192
4023,"Ford Fiesta, 2016",586 000 ₽,"81 500 км, 1.6 AMT (105 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_fiesta_2016_2087292808
4024,"Mercedes-Benz S-класс AMG, 2015",4 071 000 ₽,"72 507 км, 5.5 AT (585 л.с.), седан, полный, бензин",https://www.avito.ru/moskva/avtomobili/mercedes-benz_s-klass_amg_2015_2120692680
4025,"Mitsubishi Outlander, 2017",1 517 000 ₽,"93 560 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/mitsubishi_outlander_2017_2111590015
4026,"Toyota RAV4, 2017",1 657 000 ₽,"23 407 км, 2.0 CVT (146 л.с.), внедорожник, полный, бензин",https://www.avito.ru/moskva/avtomobili/toyota_rav4_2017_2086998653
4027,"Ford Focus, 2013",380 000 ₽,"260 000 км, 1.6 MT (85 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2106133993
4028,"BMW 5 серия, 2016",1 430 000 ₽,"150 000 км, 2.0 AT (190 л.с.), седан, задний, дизель",https://www.avito.ru/moskva/avtomobili/bmw_5_seriya_2016_2116664079
4029,"KIA cee'd, 2018",999 000 ₽,"45 000 км, 1.6 AT (130 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_ceed_2018_2084084891
4030,"KIA Rio, 2016",510 000 ₽,"255 000 км, 1.4 MT (100 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/kia_rio_2016_2096592748
