,NameYear,Price,CarParams,url
186,"Ford Focus, 2011",499 999 ₽,"209 000 км, 2.0 MT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2011_2106877041
187,"Ford Focus, 2016",726 000 ₽,"64 336 км, 1.6 AMT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2098516491
188,"Ford Focus, 2008",330 000 ₽,"168 000 км, 1.6 MT (115 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2008_2106642090
189,"Ford Focus, 2016",745 000 ₽,"43 715 км, 1.6 AMT (105 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_1987968190
190,"Ford Focus, 2013",629 000 ₽,"132 878 км, 2.0 AMT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2106160710
191,"Ford Focus, 2016",750 000 ₽,"89 000 км, 1.6 MT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2091149532
192,"Ford Focus, 2012",465 000 ₽,"197 000 км, 1.6 MT (105 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2103574724
193,"Ford Focus, 2014",460 000 ₽,"311 000 км, 1.6 AMT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2014_2078056303
194,"Ford Focus, 2008",367 000 ₽,"189 934 км, 1.6 AT (100 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2008_2102457020
195,"Ford Focus, 2013",595 000 ₽,"107 239 км, 1.6 MT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2088913825
196,"Ford Focus, 2011",549 000 ₽,"132 605 км, 2.0 AMT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2011_2088074502
197,"Ford Focus, 2016",350 000 ₽,"230 000 км, 1.6 MT (105 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2084078612
198,"Ford Focus, 2013",445 000 ₽,"102 574 км, 1.6 MT (105 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_1958425819
199,"Ford Focus, 2012",470 000 ₽,"210 000 км, 2.0 AMT (150 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2109195522
200,"Ford Focus, 2007",325 000 ₽,"141 000 км, 2.0 MT (145 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2007_2108695141
201,"Ford Focus, 2012",585 000 ₽,"245 000 км, 2.0 AMT (140 л.с.), универсал, передний, дизель",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2092508625
202,"Ford Focus, 2008",265 000 ₽,"158 879 км, 2.0 MT (145 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2008_2090589752
203,"Ford Focus, 2011",415 000 ₽,"231 002 км, 1.6 AMT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2011_2079316122
204,"Ford Focus, 2017",550 000 ₽,"80 745 км, 1.6 MT (105 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2017_2105399193
205,"Ford Focus, 2007",295 000 ₽,"223 000 км, 1.6 AT (100 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2007_2092116403
206,"Ford Focus, 2012",425 000 ₽,"165 000 км, 1.6 MT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_1986073043
207,"Ford Focus, 2011",440 000 ₽,"65 500 км, 2.0 AT (145 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2011_2080582910
208,"Ford Focus, 2011",230 000 ₽,"345 000 км, 1.6 MT (100 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2011_2085125234
209,"Ford Focus, 2006",270 000 ₽,"268 000 км, 2.0 MT (145 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2006_2079121555
210,"Ford Focus, 2010",345 000 ₽,"195 168 км, 1.6 AT (100 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2081579056
211,"Ford Focus, 2008",388 000 ₽,"143 000 км, 1.6 MT (115 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2008_2087390181
212,"Ford Focus, 2013",515 000 ₽,"191 080 км, 1.6 MT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2091346626
213,"Ford Focus, 2010",395 000 ₽,"166 000 км, 1.6 AT (100 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2010_2122076847
214,"Ford Focus, 2016",760 000 ₽,"43 523 км, 1.6 AMT (105 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_1988564969
215,"Ford Focus, 2012",625 000 ₽,"186 755 км, 1.6 MT (125 л.с.), универсал, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2098168579
216,"Ford Focus, 2013",515 000 ₽,"174 130 км, 1.6 AMT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2013_2106632523
217,"Ford Focus, 2008",345 000 ₽,"127 616 км, 1.6 MT (100 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2008_2054759183
218,"Ford Focus, 2008",395 000 ₽,"162 000 км, 1.6 MT (115 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2008_2060307663
219,"Ford Focus, 2012",480 000 ₽,"117 409 км, 1.6 MT (105 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2012_2105680309
220,"Ford Focus, 2006",275 000 ₽,"197 000 км, 1.8 MT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2006_2106962352
221,"Ford Focus, 2016",760 000 ₽,"188 019 км, 1.5 AT (150 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2016_2111233348
222,"Ford Focus, 2007",339 000 ₽,"140 000 км, 1.8 MT (125 л.с.), хетчбэк, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2007_2091373082
223,"Ford Focus, 2006",270 000 ₽,"167 260 км, 1.8 MT (125 л.с.), седан, передний, бензин",https://www.avito.ru/moskva/avtomobili/ford_focus_2006_2107991740
